Submission,Criteo,ResNet,ViT,DeepSpeech,OGBG,WMT
Schedule-Free AdamW v1,1.7684746532569608,0.329967933780409,0.5972162468386699,2.8911875030445553,0.8583333860462475,0.8886045518833032
Schedule-Free AdamW v2,1.015598624825152,0.331503867053326,0.5805768509951862,5.433791691360587,0.8868879908595588,0.9388027185922081
