submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,18025.89689064026,inf,inf,45404.351519584656,27508.806652784348,4976.4658744335175,12904.218306303024
AdEMAMix (PyTorch),724.754016160965,511.3699195384979,10318.80354332924,inf,inf,50637.22282648087,28968.81560564041,3620.244943380356,7777.399891376495
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,45972.71987748146,77167.3076415062,inf,inf,3638.546424627304,9721.991999149324
Lion (PyTorch),717.2312772274017,520.2512855529785,20603.51038718224,inf,inf,inf,31862.61851024628,6321.769423484802,9683.24600148201
Muon (JAX),1079.9141855239868,547.1627485752106,18022.910578489304,inf,64313.66648411751,inf,inf,1375.1697556972504,inf
Muon (PyTorch),392.43705701828,421.49709916114807,12903.770976543428,inf,inf,inf,inf,1833.473667144776,5868.087528705597
NAdamW (JAX),364.45390701293945,500.9207639694214,23164.42234921456,43973.654967308044,61734.6875371933,inf,inf,4088.2416999340057,12292.569732904434
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,402.4246642589569,18018.74986338616,43969.3411693573,69451.3844780922,inf,inf,2731.6373760700226,8431.825677156448
NAdamW (Tuned for ResNet) (JAX),723.2133867740631,820.6856744289398,20592.04149007797,43968.77058148384,90015.6228647232,inf,inf,4992.225074529648,11651.874064207075
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,59318.61740803719,33257.97663426399,2738.123290538788,4547.46813249588
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,10304.23870229721,inf,41192.741263866425,inf,inf,4090.733491897583,4567.1483771801
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,12880.210941791534,22009.03094482422,41188.27910041809,inf,inf,3186.941942691803,4565.309421539307
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,46274.09501791,inf,inf,47123.02601647377,33246.56272029877,4977.280465126038,2621.975442647934
Single Worker DiLoCo (JAX),1441.4770905971527,1141.4151532649994,28313.97388148308,inf,inf,inf,inf,inf,inf
