relaxation_percent,submission,score,rank,workloads_reached,workload_count
0,AdEMAMix (AdamW-equiv.) (PyTorch),0.5190796857463527,2,6,9
0,AdEMAMix (PyTorch),0.24635241301907948,12,3,9
0,Cautious NAdamW (JAX),0.31425364758698043,9,4,9
0,Lion (PyTorch),0.27833894500561146,11,4,9
0,Muon (JAX),0.2845117845117842,10,3,9
0,Muon (PyTorch),0.4231200897867556,6,4,9
0,NAdamW (JAX),0.384399551066217,8,4,9
0,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4506172839506181,4,5,9
0,NAdamW (Tuned for ResNet) (JAX),0.18574635241301896,13,3,9
0,Schedule-Free AdamW (PyTorch),0.466891133557801,3,5,9
0,Schedule-Free AdamW (JAX),0.4107744107744111,7,5,9
0,Schedule-Free AdamW v2 (JAX),0.4405162738496074,5,5,9
0,Schedule-Free AdamW v2 (PyTorch),0.5679012345679016,1,6,9
0,Single Worker DiLoCo (JAX),0.1301907968574634,14,2,9
1,AdEMAMix (AdamW-equiv.) (PyTorch),0.5875420875420879,1,7,9
1,AdEMAMix (PyTorch),0.3597081930415269,9,5,9
1,Cautious NAdamW (JAX),0.300785634118967,11,4,9
1,Lion (PyTorch),0.32603815937149255,10,5,9
1,Muon (JAX),0.2845117845117842,13,4,9
1,Muon (PyTorch),0.4837261503928179,5,5,9
1,NAdamW (JAX),0.3726150392817052,8,4,9
1,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4304152637485978,7,5,9
1,NAdamW (Tuned for ResNet) (JAX),0.28675645342312056,12,5,9
1,Schedule-Free AdamW (PyTorch),0.48092031425364845,6,5,9
1,Schedule-Free AdamW (JAX),0.5168350168350166,4,6,9
1,Schedule-Free AdamW v2 (JAX),0.5538720538720535,3,6,9
1,Schedule-Free AdamW v2 (PyTorch),0.5718294051627385,2,6,9
1,Single Worker DiLoCo (JAX),0.12289562289562284,14,3,9
2,AdEMAMix (AdamW-equiv.) (PyTorch),0.4831649831649832,3,7,9
2,AdEMAMix (PyTorch),0.26430976430976455,11,5,9
2,Cautious NAdamW (JAX),0.30920314253647624,9,5,9
2,Lion (PyTorch),0.24579124579124553,12,5,9
2,Muon (JAX),0.3664421997755325,7,5,9
2,Muon (PyTorch),0.4304152637485974,6,5,9
2,NAdamW (JAX),0.30639730639730595,10,4,9
2,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.3653198653198659,8,5,9
2,NAdamW (Tuned for ResNet) (JAX),0.19416386083052742,13,5,9
2,Schedule-Free AdamW (PyTorch),0.4517396184062859,4,5,9
2,Schedule-Free AdamW (JAX),0.4309764309764304,5,6,9
2,Schedule-Free AdamW v2 (JAX),0.525813692480359,1,6,9
2,Schedule-Free AdamW v2 (PyTorch),0.5252525252525261,2,6,9
2,Single Worker DiLoCo (JAX),0.06677890011223338,14,3,9
3,AdEMAMix (AdamW-equiv.) (PyTorch),0.5157126823793495,4,7,9
3,AdEMAMix (PyTorch),0.38720538720538733,8,6,9
3,Cautious NAdamW (JAX),0.36924803591470273,9,6,9
3,Lion (PyTorch),0.18406285072951736,13,5,9
3,Muon (JAX),0.3434343434343429,10,5,9
3,Muon (PyTorch),0.4180695847362521,6,5,9
3,NAdamW (JAX),0.4130190796857464,7,6,9
3,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.33164983164983214,11,5,9
3,NAdamW (Tuned for ResNet) (JAX),0.2109988776655443,12,6,9
3,Schedule-Free AdamW (PyTorch),0.5319865319865317,3,6,9
3,Schedule-Free AdamW (JAX),0.47474747474747464,5,6,9
3,Schedule-Free AdamW v2 (JAX),0.6531986531986536,1,7,9
3,Schedule-Free AdamW v2 (PyTorch),0.5465768799102142,2,6,9
