submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,18025.89689064026,inf,inf,45404.351519584656,27508.806652784348,4976.4658744335175,12255.966635465622
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,41981.1839838028,72027.07000041008,inf,inf,3636.773329257965,9080.651587486269
Lion (PyTorch),717.2312772274017,410.3829169273377,20603.51038718224,inf,inf,inf,28972.046739816666,5419.439529418945,8410.401287317276
Muon (JAX),1079.9141855239868,326.65109968185425,18022.910578489304,inf,59172.92804956436,inf,inf,1375.1697556972504,inf
Muon (PyTorch),392.43705701828,421.49709916114807,12903.770976543428,inf,inf,inf,inf,1830.406593322754,3941.83190703392
NAdamW (JAX),364.45390701293945,369.9422628879547,23162.559694767,41969.839732170105,59165.54475545883,inf,inf,4087.9961693286896,11648.653273820875
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,18018.74986338616,41972.82826924324,66880.57304668427,inf,inf,2731.6373760700226,8431.286786317825
NAdamW (Tuned for ResNet) (JAX),366.75317430496216,710.2628664970398,20592.04149007797,41972.83446621895,84875.12085962296,inf,inf,4992.225074529648,11004.365580558777
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,57574.19751262665,30358.114854812626,2738.123290538788,3905.406741142273
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,10304.23870229721,inf,36050.6091632843,inf,inf,3638.152243614197,3923.215074539185
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,12875.642571926115,16021.15643143654,36053.36723423004,inf,inf,3186.941942691803,3921.279017686844
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,38586.41467094421,inf,inf,45378.7729613781,30359.1022708416,4075.018378019333,2621.975442647934
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,25742.808414697647,41975.59837651253,inf,inf,inf,4090.009508609772,12302.170767068865
Single Worker DiLoCo v2 (JAX),1100.0680918693542,808.2217423915863,25742.234058380127,inf,inf,inf,inf,inf,12947.029633522034
