submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,43658.91495251656,24636.13781666756,3171.8695437908173,3913.587485551834
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,7749.956479787826,inf,inf,41914.625618219376,23185.21777319908,2738.389086484909,2644.968838453293
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,20596.95786190033,30004.25766515732,54041.22191572189,inf,inf,2283.153999567032,2639.9161829948425
Lion (PyTorch),361.4228310585022,300.31669664382935,18035.00035214424,inf,inf,inf,24626.56887698173,4066.246910810471,2630.479721069336
Muon (JAX),367.3413143157959,326.65109968185425,12880.584438800812,26019.81590628624,43764.84170651436,inf,inf,924.1200001239775,5859.486621856689
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,45397.92845630646,inf,1382.2988984584808,2015.6150116920471
NAdamW (JAX),364.45390701293945,258.60642552375793,23162.559694767,31989.620451927185,46322.53403759003,inf,inf,2280.0444753170013,6496.326718568802
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,15447.401123523712,28000.71396493912,48901.21438694,inf,inf,2278.5856997966766,2635.5035140514374
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18020.98589158058,29996.69506454468,74594.47512865067,inf,inf,3636.301753282547,6495.468696594238
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,47112.69826483727,23138.350909233093,2271.1033079624176,1979.4675829410555
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,23195.29740691185,inf,inf,2282.664251804352,1991.132454156876
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,10304.696884393692,6041.208413362503,23196.1972835064,inf,inf,2282.922813653946,1989.267727136612
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,25728.584080696102,inf,inf,38401.83455562592,21708.947831869125,2716.290271043777,1337.9253540039062
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,23170.14706325531,35993.03426885605,inf,inf,inf,4541.807559251785,5213.589239597321
