submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,10320.136803627014,inf,inf,40168.41002392769,21726.365890026093,1831.8522815704343,1344.7416751384735
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,5181.962565422058,inf,52762.84518611431,36669.94425535202,20293.84050965309,1844.2267653942108,1360.511590719223
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,18025.62758755684,8048.80659031868,33483.50565671921,inf,inf,1830.439449071884,1351.936791419983
Lion (PyTorch),361.4228310585022,300.31669664382935,15466.451179265976,inf,87448.87829089165,inf,20299.85348320008,2722.952040195465,1346.0777959823608
Muon (JAX),367.3413143157959,326.65109968185425,10309.576101779938,6059.445655584335,25769.7748336792,inf,inf,472.0722301006317,1993.004472732544
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,20146.280146837234,inf,36675.20055985451,24601.299715280533,931.2312638759612,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,18020.200389385223,14021.988013505936,25761.087451457977,inf,inf,1828.09228849411,1988.6505835056305
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,10308.267341852188,10037.083438634872,33474.88803553581,inf,inf,1375.3242769241333,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,15449.837990522385,8048.570125341415,54040.61817121506,inf,inf,2280.1949741840363,1344.564608335495
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,43761.04453611374,33158.87598538399,15919.369007825851,1820.0903890132904,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,5162.400691509247,inf,15482.284232378006,inf,40644.25076937676,1830.5635395050049,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.187179327011,4045.282567501068,15482.528831005096,inf,inf,1829.5636475086208,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,15451.365812063215,16117.132305383682,52746.081909418106,29679.2389626503,15917.756404399872,1813.9982311725616,695.9262759685516
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,20598.12127017975,16018.221548080444,59173.72057580948,inf,inf,3185.5750620365143,1991.6996412277224
