submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,10320.136803627014,inf,inf,40168.41002392769,23171.81398487091,1831.8522815704343,1344.7416751384735
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,18025.62758755684,10044.896064281464,36053.56412434578,inf,inf,1830.439449071884,1351.936791419983
Lion (PyTorch),361.4228310585022,300.31669664382935,15466.451179265976,inf,92620.83189415932,inf,21736.73503923416,2722.952040195465,1346.0777959823608
Muon (JAX),367.3413143157959,326.65109968185425,10309.576101779938,6059.445655584335,28340.700644254684,inf,inf,474.36376953125,1993.004472732544
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,28103.74647927284,inf,36675.20055985451,24627.888468027115,931.2312638759612,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,14034.63393163681,25762.89148926735,inf,inf,1828.09228849411,1988.6505835056305
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,10308.267341852188,12030.560815811155,36045.9832136631,inf,inf,1375.3242769241333,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,15449.837990522385,10036.750513792038,59177.81989598274,inf,inf,2280.1949741840363,1344.564608335495
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,48923.90048289299,33158.87598538399,15919.369007825851,1820.0903890132904,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,5162.400691509247,inf,15482.284232378006,inf,42102.31699967384,1830.5635395050049,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.187179327011,4045.282567501068,15482.528831005096,inf,inf,1829.5636475086208,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,18019.889969348907,20118.47114038468,65589.65318608284,29679.2389626503,15930.63134908676,2265.093102455139,695.9262759685516
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,20598.386327266693,18011.292100429535,48906.19797182083,inf,inf,1829.797571182251,1345.5658564567566
Single Worker DiLoCo v2 (JAX),367.4553608894348,358.09745836257935,20598.12127017975,16030.840265512466,61742.53918337822,inf,inf,3185.5750620365143,1991.6996412277224
