submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,12888.66524362564,inf,inf,41913.79961395264,23171.81398487091,2720.843776226044,1986.9908213615413
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,7749.956479787826,inf,88725.49842119217,40161.32847809792,21739.44190144539,2287.257420063019,1997.7971255779264
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,20596.95786190033,18027.98590278625,46335.11635041237,inf,inf,2282.559859275818,1995.941637992859
Lion (PyTorch),361.4228310585022,300.31669664382935,15470.837062835692,inf,inf,inf,23161.96718645096,3174.0471365451813,1988.2335124015808
Muon (JAX),367.3413143157959,326.65109968185425,12880.584438800812,14043.732003211975,33482.81542515755,inf,inf,924.1200001239775,3280.1217908859253
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,inf,inf,41909.51981949806,27489.25124168396,1379.332411289215,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,24005.868943452835,36047.024696826935,inf,inf,1828.09228849411,3919.267996788025
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,12879.35993862152,22010.503659963608,43759.1655421257,inf,inf,1827.4183478355408,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18019.66106724739,20024.234433174133,64315.05606484413,inf,inf,3184.334586381912,2631.7060770988464
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,84876.44285774231,38390.65752458573,20250.36719083786,1835.857743024826,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.05108499527,inf,18053.36387681961,inf,50797.676842451096,2282.664251804352,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,4045.282567501068,18053.69940185547,inf,inf,2279.5567665100098,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,20590.799481630325,38021.134011268616,inf,34913.0673058033,18819.814143896103,2265.093102455139,1337.9253540039062
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,23170.14706325531,25999.418875694275,72022.05905723572,inf,inf,3634.898852348328,2637.251784324646
