submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,12888.66524362564,inf,inf,40168.41002392769,23171.81398487091,1831.8522815704343,1344.7416751384735
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,18025.62758755684,12041.002434968948,38624.48606801033,inf,inf,1830.439449071884,1351.936791419983
Lion (PyTorch),361.4228310585022,300.31669664382935,15466.451179265976,inf,inf,inf,21736.73503923416,3174.0471365451813,1346.0777959823608
Muon (JAX),367.3413143157959,326.65109968185425,10309.576101779938,8055.504743814468,28340.700644254684,inf,inf,923.1322183609008,1993.004472732544
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,49956.20253562927,inf,40165.25501203537,26045.082265377045,931.2312638759612,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,20009.806787729263,30903.08280968666,inf,inf,1828.09228849411,3275.371021270752
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,12876.15150499344,14026.537544250488,36047.438972473145,inf,inf,1827.4183478355408,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,15449.837990522385,12040.370223760605,59177.81989598274,inf,inf,2732.2962193489075,1348.465673685074
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,54054.83913040161,34903.03261232376,17363.167905330658,1820.0903890132904,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,5162.400691509247,inf,15482.284232378006,inf,44996.80340027809,1830.5635395050049,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,4045.282567501068,15482.528831005096,inf,inf,1830.8140347003937,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,18019.889969348907,24062.551146507263,69442.15977168083,31423.90184879303,15930.63134908676,2265.093102455139,1337.9253540039062
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,20598.386327266693,20017.44223642349,51476.37810730934,inf,inf,1829.797571182251,1345.5658564567566
Single Worker DiLoCo v2 (JAX),367.4553608894348,358.09745836257935,20598.12127017975,16030.840265512466,64312.2251739502,inf,inf,3185.5750620365143,1992.8568646907809
