submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,43658.91495251656,26063.039082288746,4074.176634788513,9044.131472110748
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,33997.07320523262,61749.41730427742,inf,inf,3186.577626466751,5216.774678945541
Lion (PyTorch),361.4228310585022,300.31669664382935,20595.98904967308,inf,inf,inf,26081.413096904755,4968.353792667389,4557.130557060242
Muon (JAX),723.6945340633392,326.65109968185425,15451.75988817215,39992.98837065697,51469.29406666756,inf,inf,924.1200001239775,11009.2447681427
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,52374.13884854317,inf,1382.2988984584808,2658.6289060115814
NAdamW (JAX),364.45390701293945,258.60642552375793,23162.559694767,35981.77383327484,51460.40239882469,inf,inf,2732.1139879226685,8428.68996310234
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,15450.604312419891,33989.52869224548,56604.14564371109,inf,inf,2279.5015227794647,4567.41791677475
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,379.6383473873138,20590.78639769554,35984.64814186096,77164.51755309105,inf,inf,4088.235252857208,8427.335958003998
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,50599.53104233742,27469.76524972916,2713.5714564323425,2621.505687713623
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,28337.487322092056,inf,inf,2734.744701385498,2635.1603307724
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,10309.158726215364,8037.608729124069,28338.156165361404,inf,inf,2734.904228210449,2633.222596645355
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,30862.526978731155,inf,inf,41889.504074811935,26041.40856337548,3167.314347505569,1979.972177028656
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,25742.808414697647,39969.32945632935,77171.15967273712,inf,inf,2734.06391954422,7147.821045637131
Single Worker DiLoCo v2 (JAX),724.1122615337372,364.0293734073639,25742.234058380127,53960.84433245659,inf,inf,inf,4993.784583806992,8434.868093013763
