submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,436.60997319221497,18025.89689064026,inf,inf,47149.58257842064,28954.99601364136,4989.435345888138,13540.525059461594
Cautious NAdamW (JAX),722.5356111526489,394.8429796695709,25738.981688261032,inf,84878.0066742897,inf,inf,4090.531037092209,10365.966279268265
Lion (PyTorch),1073.0823872089386,740.2782506942749,20603.51038718224,inf,inf,inf,inf,6321.769423484802,10338.965475320816
Muon (JAX),1437.720421791077,658.0825011730194,18022.910578489304,inf,66882.26614570618,inf,inf,1375.1697556972504,inf
Muon (PyTorch),748.0918927192688,531.0010507106781,12903.770976543428,inf,inf,inf,inf,1833.473667144776,6510.414376974106
NAdamW (JAX),721.1048164367676,700.5108685493469,25733.847669363025,47962.852383852005,64304.89638185501,inf,inf,4088.2416999340057,inf
NAdamW (Baseline AlgoPerf v0.5) (JAX),721.0765557289124,518.9147706031799,18021.71687054634,inf,inf,inf,inf,3182.511142730713,9719.260936498642
NAdamW (Tuned for ResNet) (JAX),1081.5050764083862,1040.645043849945,20592.04149007797,51942.21082019806,inf,inf,inf,5896.352125167847,12935.18206691742
Schedule-Free AdamW (PyTorch),720.9437417984009,319.09749150276184,inf,inf,inf,61063.90926647186,34689.57567882538,3189.1223855018616,5189.421644210815
Schedule-Free AdamW (JAX),724.0472061634064,604.3663773536682,10305.35549902916,inf,46335.302220106125,inf,inf,4090.9967923164368,5857.690088987351
Schedule-Free AdamW v2 (JAX),365.3596320152282,417.3900821208954,12880.210941791534,37976.86044549942,46336.8071513176,inf,inf,3638.9604036808014,5852.250037670136
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,inf,inf,inf,50614.13014340401,34691.10995674133,5420.893838405609,3263.986152648926
Single Worker DiLoCo (JAX),1083.4836993217468,555.2002403736115,25742.808414697647,45968.26041817665,inf,inf,inf,4991.95076751709,16168.221429347992
Single Worker DiLoCo v2 (JAX),2176.593297958374,1696.829978466034,28313.97388148308,inf,inf,inf,inf,inf,inf
