submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,12888.66524362564,inf,inf,41913.79961395264,24617.78159236908,2723.497850179672,2629.1733162403107
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,20596.95786190033,24016.828218460083,48900.70434856415,inf,inf,2282.559859275818,1995.941637992859
Lion (PyTorch),361.4228310585022,300.31669664382935,18035.00035214424,inf,inf,inf,23191.02020430565,3625.192697763443,1988.2335124015808
Muon (JAX),367.3413143157959,326.65109968185425,12880.584438800812,18036.51977968216,38624.79778957367,inf,inf,924.1200001239775,4568.167285680771
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,43652.8343565464,28934.32774949073,1382.2988984584808,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,28006.16886329651,41186.81677174568,inf,inf,2280.0444753170013,4564.282576084137
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,12879.35993862152,26005.92664813996,46330.224033117294,inf,inf,1827.4183478355408,1991.903594255448
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18020.98589158058,26004.743294000626,69453.8258318901,inf,inf,3184.334586381912,3924.379744529724
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,41880.15250754357,21693.94476556778,1835.857743024826,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,20624.349823713303,inf,55139.79888033867,2282.664251804352,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,6041.208413362503,20624.90352892876,inf,inf,2281.6761133670807,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,25725.401896953583,73961.89125466347,inf,36657.282760858536,20264.60364079476,2716.290271043777,1337.9253540039062
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,23170.751378536224,31984.57522726059,61751.39870190621,inf,inf,2281.920562505722,1992.292850732804
Single Worker DiLoCo v2 (JAX),367.4553608894348,358.09745836257935,23170.14706325531,25999.418875694275,77162.83694291115,inf,inf,4086.959207296372,3924.7618927955614
