submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,41913.79961395264,24617.78159236908,2723.497850179672,3284.1917521953583
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,7749.956479787826,inf,inf,41906.71695399284,23185.21777319908,2738.389086484909,2639.9789066314697
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,20596.95786190033,26012.923664093018,51472.95015621185,inf,inf,2282.559859275818,1995.941637992859
Lion (PyTorch),361.4228310585022,300.31669664382935,18035.00035214424,inf,inf,inf,24609.060659885406,3625.192697763443,2630.479721069336
Muon (JAX),367.3413143157959,326.65109968185425,12880.584438800812,22027.78568172455,41193.85737276077,inf,inf,924.1200001239775,4569.058828830719
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,43652.8343565464,28934.32774949073,1382.2988984584808,2015.6150116920471
NAdamW (JAX),364.45390701293945,258.60642552375793,20593.26862835884,29993.64087820053,43754.44093418121,inf,inf,2280.0444753170013,5207.200619697571
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,15447.369599819183,26005.92664813996,48899.961000204086,inf,inf,1827.4183478355408,2635.5035140514374
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18020.98589158058,28000.618613243103,69453.8258318901,inf,inf,3185.389578104019,4563.616898536682
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,45367.673850774765,21693.94476556778,2271.1033079624176,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,23195.29740691185,inf,inf,2282.664251804352,1991.132454156876
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,6041.208413362503,23190.229952573776,inf,inf,2281.6761133670807,1989.267727136612
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,25725.401896953583,inf,inf,38401.83455562592,21708.947831869125,2716.290271043777,1337.9253540039062
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,23170.14706325531,35993.03426885605,79733.21840977669,inf,inf,4538.6012127399445,3925.9537382125854
