relaxation_percent,submission,score,rank,workloads_reached,workload_count
5,Single Worker DiLoCo v2 (JAX),0.12177328843995516,14,4,9
6,AdEMAMix (PyTorch),0.51571268237935,5,7,9
6,Muon (PyTorch),0.4730639730639739,6,5,9
6,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4674523007856342,7,7,9
6,Schedule-Free AdamW v2 (PyTorch),0.5746352413019085,2,7,9
6,Single Worker DiLoCo v2 (JAX),0.15544332210998887,14,6,9
7,AdEMAMix (PyTorch),0.5056116722783399,5,7,9
7,Muon (PyTorch),0.488776655443323,6,5,9
7,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.47643097643097665,7,7,9
7,Schedule-Free AdamW v2 (PyTorch),0.5538720538720548,4,7,9
7,Single Worker DiLoCo v2 (JAX),0.1419753086419754,14,6,9
8,AdEMAMix (PyTorch),0.5061728395061739,6,7,9
8,Muon (PyTorch),0.6015712682379343,2,6,9
8,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.48484848484848464,7,7,9
8,Schedule-Free AdamW v2 (PyTorch),0.5763187429854101,3,7,9
8,Single Worker DiLoCo v2 (JAX),0.19472502805836125,14,6,9
9,AdEMAMix (PyTorch),0.5342312008978677,6,7,9
9,Muon (PyTorch),0.602693602693602,2,6,9
9,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4898989898989896,7,7,9
9,Schedule-Free AdamW v2 (PyTorch),0.5751964085297422,4,7,9
9,Single Worker DiLoCo v2 (JAX),0.2457912457912453,14,6,9
10,AdEMAMix (PyTorch),0.5213243546576883,6,7,9
10,Muon (PyTorch),0.5993265993265987,3,6,9
10,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.493265993265993,7,7,9
10,Schedule-Free AdamW v2 (PyTorch),0.607182940516274,2,7,9
10,Single Worker DiLoCo v2 (JAX),0.23176206509539798,14,6,9
11,AdEMAMix (PyTorch),0.5589225589225592,6,7,9
11,Muon (PyTorch),0.5982042648709308,3,6,9
11,NAdamW (Baseline AlgoPerf v0.5) (JAX),0.49270482603815907,7,7,9
11,Schedule-Free AdamW v2 (PyTorch),0.6200897867564538,2,7,9
