submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,43658.91495251656,26063.039082288746,3625.771859884262,6474.833534240723
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,10318.80354332924,inf,inf,43659.64862132072,24630.957630872726,2746.4137926101685,3924.4118206501007
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,32000.98227930069,59178.940668821335,inf,inf,3184.770050764084,4571.820614337921
Lion (PyTorch),361.4228310585022,300.31669664382935,18035.00035214424,inf,inf,inf,26071.782301664352,4517.316638946533,3904.209080696106
Muon (JAX),723.3577916622162,326.65109968185425,15451.75988817215,33987.061225652695,48901.21842837334,inf,inf,924.1200001239775,8435.542397499084
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,48887.10342168808,inf,1382.2988984584808,2657.6567182540894
NAdamW (JAX),364.45390701293945,258.60642552375793,23162.559694767,33994.031225442886,48896.97841477394,inf,inf,2732.1139879226685,7784.669058084488
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,15447.401123523712,31992.592839717865,56604.14564371109,inf,inf,2279.5015227794647,3923.3995735645294
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18020.98589158058,33988.63400006294,77164.51755309105,inf,inf,4088.235252857208,7144.147229909897
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,48856.32834744453,24582.01651263237,2286.992827653885,1979.4675829410555
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,25766.614211559296,inf,inf,2734.744701385498,1991.132454156876
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,10309.158726215364,8037.070692062378,25767.194996118546,inf,inf,2731.69059753418,1989.267727136612
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,30862.526978731155,inf,inf,40145.10081958771,24598.21104478836,3167.314347505569,1979.972177028656
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,25742.234058380127,51961.5379896164,inf,inf,inf,4991.007339000702,7146.151785612106
