submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),1428.7973811626434,864.8888063430786,18025.89689064026,inf,inf,47149.58257842064,28975.83899521828,5427.645111322403,14825.24995803833
AdEMAMix (PyTorch),2148.3401172161102,1269.4936056137085,12887.495035886765,inf,inf,inf,inf,4099.839018344879,10988.23679113388
Cautious NAdamW (JAX),1437.8420550823212,722.511825799942,25738.981688261032,inf,inf,inf,inf,4542.640103340149,11012.622641801834
Lion (PyTorch),1786.1049778461456,959.646072626114,20603.51038718224,inf,inf,inf,inf,6321.769423484802,12251.830946207048
Muon (JAX),3230.224955558777,878.6190605163574,18022.910578489304,inf,69452.43044137955,inf,inf,1378.5888230800629,inf
Muon (PyTorch),1104.0907456874847,1080.1262052059174,12903.770976543428,inf,inf,inf,inf,1833.473667144776,7139.727415800095
NAdamW (JAX),1434.4945619106293,920.957771062851,25733.847669363025,inf,66875.45236468315,inf,inf,inf,inf
NAdamW (Baseline AlgoPerf v0.5) (JAX),1081.428255319595,960.678999900818,18021.71687054634,inf,inf,inf,inf,3185.612011909485,10357.81909942627
NAdamW (Tuned for ResNet) (JAX),2508.926483154297,1040.645043849945,20592.04149007797,inf,inf,inf,inf,5896.352125167847,12939.709772586824
Schedule-Free AdamW (PyTorch),1076.497935295105,429.2442009449005,inf,inf,inf,inf,36145.44285082817,3189.1223855018616,7116.319007158279
Schedule-Free AdamW (JAX),1438.9549899101255,1293.577653169632,12875.024502277374,inf,54047.82887840271,inf,inf,4543.0039122104645,7145.66076540947
Schedule-Free AdamW v2 (JAX),721.9275319576263,753.354035615921,12880.940367937088,inf,56613.070303440094,inf,inf,4091.021724462509,7784.280825853348
Schedule-Free AdamW v2 (PyTorch),1074.7545132637024,365.1715507507324,inf,inf,inf,52358.23204731941,37579.15203809738,5420.893838405609,4545.6430814266205
Single Worker DiLoCo (JAX),3657.684541225433,1801.844279050827,28313.97388148308,inf,inf,inf,inf,inf,inf
