submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,45404.351519584656,26063.039082288746,4525.246675014496,9063.03153014183
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,37988.38201355934,64319.46340799332,inf,inf,3186.577626466751,5860.76810503006
Lion (PyTorch),361.4228310585022,300.31669664382935,20603.51038718224,inf,inf,inf,27526.838836431503,4968.353792667389,5199.279918193817
Muon (JAX),723.6945340633392,326.65109968185425,15451.75988817215,61949.802631378174,54036.537271499634,inf,inf,924.1200001239775,11653.207075357435
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,inf,inf,1397.140058517456,3287.6150810718536
NAdamW (JAX),364.45390701293945,258.60642552375793,23162.559694767,37977.79692840576,54028.59884238243,inf,inf,2732.1139879226685,9072.71881723404
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,18018.31699323654,35985.533590078354,61741.13226246834,inf,inf,2279.5015227794647,5211.422335386276
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,379.6383473873138,20592.04149007797,37980.72120118141,79734.54767680168,inf,inf,4088.235252857208,10360.375561952593
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,52343.64110636711,27481.28768014908,2722.2943484783173,2621.505687713623
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,30908.38264489174,inf,inf,2734.744701385498,2635.1603307724
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,10309.158726215364,10033.056078910828,30909.166823625565,inf,inf,2734.904228210449,2633.222596645355
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,33448.581278800964,inf,inf,41889.504074811935,28915.144095897675,3618.473046541214,1979.972177028656
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,25742.808414697647,39981.79184317589,77171.15967273712,inf,inf,3635.7450466156006,9079.91085410118
Single Worker DiLoCo v2 (JAX),1081.8668220043182,476.0441641807556,25742.234058380127,53960.84433245659,inf,inf,inf,5895.114526987076,9723.760488510132
