submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,12888.66524362564,inf,inf,40168.41002392769,23171.81398487091,2282.886972427368,1357.9658625125885
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,7749.956479787826,inf,74599.0254291296,38414.99412441254,21727.520691156387,2287.257420063019,1997.7971255779264
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,18025.62758755684,14037.37018609047,41195.954587221146,inf,inf,1831.0354115962984,1351.936791419983
Lion (PyTorch),361.4228310585022,300.31669664382935,15466.451179265976,inf,inf,inf,21745.294525384903,3174.0471365451813,1346.0777959823608
Muon (JAX),367.3413143157959,326.65109968185425,10309.576101779938,10051.523337125778,30911.94013428688,inf,inf,924.1200001239775,1995.248745918274
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,inf,inf,40165.25501203537,26045.082265377045,931.2312638759612,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,20009.806787729263,30904.97888159752,inf,inf,1828.09228849411,3275.371021270752
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,12876.15150499344,16026.05445599556,36047.438972473145,inf,inf,1827.4183478355408,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,15449.837990522385,14036.484773159027,61746.40814256668,inf,inf,2732.2962193489075,1988.5345993041992
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,66860.67862653732,34903.03261232376,17363.167905330658,1820.0903890132904,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,5162.400691509247,inf,18053.36387681961,inf,46453.551332235336,1830.5635395050049,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,4045.282567501068,18051.52136707306,inf,inf,1830.8140347003937,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,18019.889969348907,26113.26755142212,84840.85371398926,33168.45597934723,17375.062505483627,2265.093102455139,1337.9253540039062
Single Worker DiLoCo (JAX),367.4553608894348,358.09745836257935,23170.14706325531,16030.840265512466,66882.88473367691,inf,inf,3634.898852348328,2636.070397377014
