submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,12888.66524362564,inf,inf,40168.41002392769,23171.81398487091,2720.843776226044,1986.9908213615413
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,20596.95786190033,16033.174123048782,43764.55931854248,inf,inf,2282.559859275818,1351.936791419983
Lion (PyTorch),361.4228310585022,300.31669664382935,15466.451179265976,inf,inf,inf,23161.96718645096,3174.0471365451813,1977.860465765
Muon (JAX),367.3413143157959,326.65109968185425,10309.576101779938,12047.624875545502,33480.60615682602,inf,inf,924.1200001239775,2636.9550335407257
Muon (PyTorch),392.43705701828,312.07030296325684,7768.531230926514,inf,inf,40165.25501203537,27489.25124168396,946.1346333026886,1373.5365619659424
NAdamW (JAX),364.45390701293945,258.60642552375793,20591.495814323425,24005.868943452835,33475.899322509766,inf,inf,1828.09228849411,3275.371021270752
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,12876.398039102554,18022.107523679733,41188.24620914459,inf,inf,1827.4183478355408,1347.6121354103088
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,15449.837990522385,18028.343319892883,64315.05606484413,inf,inf,2732.2962193489075,1992.4730517864227
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,66860.67862653732,36647.36221432686,18806.66574072838,1835.857743024826,1337.4144818782806
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,5162.400691509247,inf,18053.36387681961,inf,49337.30086874962,1830.682374238968,1347.1221344470978
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,7738.909580230713,4045.282567501068,18053.69940185547,inf,inf,1830.8140347003937,1345.2206625938416
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,20590.799481630325,30040.683351755142,inf,33168.45597934723,17375.062505483627,2265.093102455139,1337.9253540039062
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,20598.386327266693,29988.30949139595,56614.21372938156,inf,inf,1829.8708913326263,1989.8410077095032
Single Worker DiLoCo v2 (JAX),367.4553608894348,358.09745836257935,23170.14706325531,20023.342441082,69453.37592864037,inf,inf,3634.898852348328,2636.070397377014
