submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (AdamW-equiv.) (PyTorch),360.9079949855805,326.4079144001007,18025.89689064026,inf,inf,45404.351519584656,27508.806652784348,4525.246675014496,10328.929268598557
AdEMAMix (PyTorch),367.842592716217,387.70237612724304,10318.80354332924,inf,inf,47150.370564222336,27523.128769874573,3189.6078889369965,5213.796993970871
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,39984.72321939469,66889.68683934212,inf,inf,3186.577626466751,7148.685655832291
Lion (PyTorch),361.4228310585022,410.3829169273377,20603.51038718224,inf,inf,inf,27526.838836431503,4978.338572740555,6472.549487352371
Muon (JAX),723.6945340633392,326.65109968185425,18022.910578489304,71915.69072246552,56604.78502726555,inf,inf,924.1200001239775,inf
Muon (PyTorch),392.43705701828,312.07030296325684,12903.770976543428,inf,inf,inf,inf,1830.406593322754,3300.607357740402
NAdamW (JAX),364.45390701293945,369.9422628879547,23162.559694767,39973.87573385239,54033.101101875305,inf,inf,2732.1139879226685,10360.19233417511
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,18018.74986338616,39974.50588822365,64310.03722715378,inf,inf,2730.5407695770264,6493.84299826622
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,489.8137288093567,20592.04149007797,39976.79217839241,82304.7795317173,inf,inf,4990.766042947769,10360.375561952593
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,52343.64110636711,28925.36391019821,2738.123290538788,3263.4201543331146
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,10304.113168478012,inf,33479.49386525154,inf,inf,3186.170065879822,3279.173264503479
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,12875.642571926115,12029.003738880156,33480.38418722153,inf,inf,3185.798768758774,3277.2183649539948
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,36017.3879005909,inf,inf,43633.814541339874,28915.144095897675,3623.7950456142426,1979.972177028656
Single Worker DiLoCo (JAX),1082.9081106185913,586.0452802181244,25742.234058380127,55957.8622610569,inf,inf,inf,5895.114526987076,11658.310941696169
