submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),360.9079949855805,326.4079144001007,15457.322835206984,inf,inf,43658.91495251656,26063.039082288746,3174.74405002594,5840.327011346817
Cautious NAdamW (JAX),366.27075147628784,283.9921712875366,23168.0211634636,32000.296038150787,56606.98682546616,inf,inf,2732.8001494407654,3926.254322290421
Lion (PyTorch),361.4228310585022,300.31669664382935,18035.00035214424,inf,inf,inf,24636.35734152794,4517.316638946533,3262.1127166748047
Muon (JAX),723.3577916622162,326.65109968185425,15451.75988817215,29994.89134001732,46332.84938240051,inf,inf,924.1200001239775,6501.06218123436
Muon (PyTorch),392.43705701828,312.07030296325684,10336.016378164291,inf,inf,47141.10578966141,inf,1382.2988984584808,2015.6150116920471
NAdamW (JAX),364.45390701293945,258.60642552375793,23162.559694767,33985.66186928749,48891.31209659576,inf,inf,2732.1139879226685,6496.752861738205
NAdamW (Baseline AlgoPerf v0.5) (JAX),367.5072982311249,292.1376211643219,15447.401123523712,31990.46945381165,54035.496212005615,inf,inf,2279.5015227794647,2635.5035140514374
NAdamW (Tuned for ResNet) (JAX),366.3240540027618,269.370676279068,18020.98589158058,31992.620273828503,74594.47512865067,inf,inf,3636.301753282547,6500.179566860199
Schedule-Free AdamW (PyTorch),364.76555728912354,319.09749150276184,inf,inf,inf,47112.69826483727,23138.350909233093,2271.1033079624176,1979.4675829410555
Schedule-Free AdamW (JAX),368.587194442749,382.8766484260559,7733.283766508102,inf,25766.614211559296,inf,inf,2734.1813151836395,1991.132454156876
Schedule-Free AdamW v2 (JAX),365.3596320152282,307.3230459690094,10309.158726215364,inf,25761.258350372314,inf,inf,2282.922813653946,1989.267727136612
Schedule-Free AdamW v2 (PyTorch),362.3438584804535,255.6350064277649,28293.974551200867,inf,inf,40145.10081958771,23153.38919401169,2716.290271043777,1337.9253540039062
Single Worker DiLoCo (JAX),725.3010702133179,334.13906598091125,23170.751378536224,33990.85886669159,69462.02342700958,inf,inf,2731.772287845612,4566.361578464508
Single Worker DiLoCo v2 (JAX),367.4553608894348,358.09745836257935,25742.234058380127,45974.51286125183,inf,inf,inf,4541.807559251785,6502.31082034111
