submission,score
AdEMAMix (AdamW-equiv.) (PyTorch),0.5145903479236816
AdEMAMix (PyTorch),0.2637485970819301
Cautious NAdamW (JAX),0.3041526374859705
Lion (PyTorch),0.2575757575757574
Muon (JAX),0.3097643097643094
Muon (PyTorch),0.42199775533108785
NAdamW (JAX),0.3883277216610543
NAdamW (Baseline AlgoPerf v0.5) (JAX),0.44219977553310946
NAdamW (Tuned for ResNet) (JAX),0.18069584736251368
Schedule-Free AdamW (PyTorch),0.4461279461279469
Schedule-Free AdamW (JAX),0.3945005611672276
Schedule-Free AdamW v2 (JAX),0.3945005611672276
Schedule-Free AdamW v2 (PyTorch),0.5252525252525259
Single Worker DiLoCo (JAX),0.16722783389450027
