submission,standard_score,relaxed_score,standard_rank,relaxed_rank,rank_shift
Schedule-Free AdamW v2 (JAX),0.4405162738496074,0.6851851851851855,5,1,4
AdEMAMix (PyTorch),0.24635241301907948,0.624579124579125,12,2,10
Schedule-Free AdamW v2 (PyTorch),0.5679012345679016,0.607182940516274,1,3,-2
Muon (PyTorch),0.4231200897867556,0.5993265993265987,6,4,2
Schedule-Free AdamW (PyTorch),0.466891133557801,0.5785634118967448,3,5,-2
Schedule-Free AdamW (JAX),0.4107744107744111,0.5561167227833891,7,6,1
AdEMAMix (AdamW-equiv.) (PyTorch),0.5190796857463527,0.5213243546576883,2,7,-5
NAdamW (Baseline AlgoPerf v0.5) (JAX),0.4506172839506181,0.493265993265993,4,8,-4
Muon (JAX),0.2845117845117842,0.4506172839506177,10,9,1
Lion (PyTorch),0.27833894500561146,0.4438832772166114,11,10,1
Cautious NAdamW (JAX),0.31425364758698043,0.40123456790123474,9,11,-2
NAdamW (JAX),0.384399551066217,0.37542087542087604,8,12,-4
NAdamW (Tuned for ResNet) (JAX),0.18574635241301896,0.3265993265993262,13,13,0
Single Worker DiLoCo (JAX),0.1301907968574634,0.23176206509539798,14,14,0
