Submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix (PyTorch),False,False,False,False,False,False,True,False,False
Cautious NAdamW (JAX),True,False,False,True,True,False,False,False,False
Lion (PyTorch),True,False,False,False,False,False,True,False,False
Muon (JAX),True,False,False,True,False,False,False,True,True
Muon (PyTorch),False,True,False,False,False,True,False,False,False
NAdamW (JAX),False,False,False,True,False,False,False,True,True
NAdamW (Baseline AlgoPerf v0.5) (JAX),False,False,False,True,True,False,False,False,False
NAdamW (Tuned for ResNet) (JAX),True,False,False,True,True,False,False,False,True
Schedule-Free AdamW (PyTorch),False,False,False,False,False,True,False,False,False
Schedule-Free AdamW (JAX),True,False,False,False,False,False,False,False,False
Schedule-Free AdamW v2 (JAX),False,False,False,False,False,False,False,False,True
Schedule-Free AdamW v2 (PyTorch),False,False,True,False,False,False,False,False,False
Single Worker DiLoCo (JAX),True,False,False,True,True,False,False,True,True
Single Worker DiLoCo v2 (JAX),True,False,False,True,False,False,False,True,True
