submission,score
AdEMAMix (AdamW-equiv.) (PyTorch),0.5213243546576883
AdEMAMix (PyTorch),0.624579124579125
Cautious NAdamW (JAX),0.40123456790123474
Lion (PyTorch),0.4438832772166114
Muon (JAX),0.4506172839506177
Muon (PyTorch),0.5993265993265987
NAdamW (JAX),0.37542087542087604
NAdamW (Baseline AlgoPerf v0.5) (JAX),0.493265993265993
NAdamW (Tuned for ResNet) (JAX),0.3265993265993262
Schedule-Free AdamW (PyTorch),0.5785634118967448
Schedule-Free AdamW (JAX),0.5561167227833891
Schedule-Free AdamW v2 (JAX),0.6851851851851855
Schedule-Free AdamW v2 (PyTorch),0.607182940516274
Single Worker DiLoCo (JAX),0.23176206509539798
