global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.6551223,11.0271435,,,,,,,,,,,,,,,,,
1,,,0.0006580962799489,11.02195644378662,0.0,0.0004820408939849,10.987210273742676,0.0,3000.0,0.0007183408597484,10.986270904541016,8.198374373802916e-11,3003.0,26.174192667007446,952.1864182949066,26.174192667007446,926.0121121406556,0.0,0.0
100,0.35882232,8.867616,,,,,,,,,,,,,,,,,
200,0.14809994,8.55178,,,,,,,,,,,,,,,,,
300,0.16012515,8.305411,,,,,,,,,,,,,,,,,
400,0.25209218,7.888286,,,,,,,,,,,,,,,,,
500,0.44645253,7.56028,,,,,,,,,,,,,,,,,
600,0.76725817,7.386105,,,,,,,,,,,,,,,,,
700,0.5252802,7.043208,,,,,,,,,,,,,,,,,
800,0.8121421,6.8966284,,,,,,,,,,,,,,,,,
900,0.54980314,6.6656294,,,,,,,,,,,,,,,,,
1000,0.57665324,6.4456973,,,,,,,,,,,,,,,,,
1100,0.7964803,6.284797,,,,,,,,,,,,,,,,,
1200,0.68430847,6.120371,,,,,,,,,,,,,,,,,
1300,0.51599234,5.90349,,,,,,,,,,,,,,,,,
1400,0.76536363,5.8344035,,,,,,,,,,,,,,,,,
1500,0.94717854,5.7336016,,,,,,,,,,,,,,,,,
1600,0.9461247,5.566594,,,,,,,,,,,,,,,,,
1700,1.0033567,5.516973,,,,,,,,,,,,,,,,,
1800,1.1801269,5.3566113,,,,,,,,,,,,,,,,,
1900,0.8094612,5.243789,,,,,,,,,,,,,,,,,
2000,1.5364865,5.233088,,,,,,,,,,,,,,,,,
2100,0.81857085,5.092516,,,,,,,,,,,,,,,,,
2200,1.6077465,4.9778075,,,,,,,,,,,,,,,,,
2300,0.70655406,4.8190055,,,,,,,,,,,,,,,,,
2400,1.0836707,4.732389,,,,,,,,,,,,,,,,,
2407,,,0.4233400225639343,3.8669471740722656,14.814418358497678,0.4081032276153564,3.9832510948181152,10.311084591769497,3000.0,0.3936044573783874,4.177699089050293,8.527815174181656,3003.0,866.1140217781067,2490.1526987552643,866.1140217781067,1623.8534841537476,0.016554832458496,0.0
2500,0.6860533,4.73742,,,,,,,,,,,,,,,,,
2600,0.7459627,4.6552205,,,,,,,,,,,,,,,,,
2700,0.7298854,4.580525,,,,,,,,,,,,,,,,,
2800,0.71202874,4.4448595,,,,,,,,,,,,,,,,,
2900,0.6630151,4.413619,,,,,,,,,,,,,,,,,
3000,0.55368775,4.3856554,,,,,,,,,,,,,,,,,
3100,0.61107457,4.2920637,,,,,,,,,,,,,,,,,
3200,0.9643232,4.2258973,,,,,,,,,,,,,,,,,
3300,0.5997474,4.1535497,,,,,,,,,,,,,,,,,
3400,0.8981562,4.188304,,,,,,,,,,,,,,,,,
3500,0.58456266,4.0343275,,,,,,,,,,,,,,,,,
3600,0.5919595,4.067367,,,,,,,,,,,,,,,,,
3700,0.5999714,3.9540877,,,,,,,,,,,,,,,,,
3800,0.5612784,3.8915818,,,,,,,,,,,,,,,,,
3900,0.8054871,3.998426,,,,,,,,,,,,,,,,,
4000,0.55216444,3.9512222,,,,,,,,,,,,,,,,,
4100,0.6218886,3.8833385,,,,,,,,,,,,,,,,,
4200,0.5167265,3.9224381,,,,,,,,,,,,,,,,,
4300,0.5429259,3.8237538,,,,,,,,,,,,,,,,,
4400,0.50895184,3.8589072,,,,,,,,,,,,,,,,,
4500,0.505926,3.7855403,,,,,,,,,,,,,,,,,
4600,0.95914835,3.801564,,,,,,,,,,,,,,,,,
4700,0.46876937,3.781537,,,,,,,,,,,,,,,,,
4800,0.5373742,3.7051227,,,,,,,,,,,,,,,,,
