global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.7631814,0.7432483,,,,,,,,,,,,,,,,,
1,,,0.4987711310386657,0.7439650893211365,0.0227498567778018,0.5072119235992432,0.7433469295501709,0.0277503545487432,43793.0,0.5080327987670898,0.7442464828491211,0.0292617534046402,43793.0,11.092934608459473,214.1116514205933,11.092934608459473,203.01861023902893,0.0,0.0
100,0.40727654,0.35940176,,,,,,,,,,,,,,,,,
200,0.30244678,0.24502794,,,,,,,,,,,,,,,,,
300,0.17108728,0.14973345,,,,,,,,,,,,,,,,,
400,0.1042979,0.09835753,,,,,,,,,,,,,,,,,
500,0.055255532,0.07123183,,,,,,,,,,,,,,,,,
600,0.04089004,0.066051394,,,,,,,,,,,,,,,,,
700,0.037312094,0.060575914,,,,,,,,,,,,,,,,,
800,0.05664112,0.052818023,,,,,,,,,,,,,,,,,
900,0.049477063,0.052858904,,,,,,,,,,,,,,,,,
1000,0.051744927,0.054564632,,,,,,,,,,,,,,,,,
1100,0.011700502,0.05492296,,,,,,,,,,,,,,,,,
1145,,,0.9864374995231628,0.0551614426076412,0.0459106302147564,0.983965277671814,0.0640116706490516,0.0451102939114328,43793.0,0.9829360842704772,0.0670560374855995,0.0473873036310531,43793.0,251.12976384162903,531.7122213840485,251.12976384162903,280.5344157218933,0.0168447494506835,0.0
1200,0.031332392,0.056905363,,,,,,,,,,,,,,,,,
1300,0.025942693,0.054299027,,,,,,,,,,,,,,,,,
1400,0.08754969,0.05274915,,,,,,,,,,,,,,,,,
1500,0.048311923,0.053685058,,,,,,,,,,,,,,,,,
1600,0.026425239,0.045451246,,,,,,,,,,,,,,,,,
1700,0.03845806,0.047372483,,,,,,,,,,,,,,,,,
1800,0.030271769,0.047630604,,,,,,,,,,,,,,,,,
1900,0.026011864,0.050215892,,,,,,,,,,,,,,,,,
2000,0.028222207,0.049097687,,,,,,,,,,,,,,,,,
2100,0.023269203,0.051367924,,,,,,,,,,,,,,,,,
2200,0.027541118,0.049652908,,,,,,,,,,,,,,,,,
2289,,,0.9877419471740724,0.0451618768274784,0.1205702970006463,0.9848746061325072,0.0548568330705165,0.1157684701367019,43793.0,0.9838648438453674,0.0577533319592475,0.1151712587567565,43793.0,491.2055900096893,848.5234010219574,491.2055900096893,357.22040486335754,0.0362136363983154,0.0
2300,0.017783543,0.045953188,,,,,,,,,,,,,,,,,
2400,0.022691311,0.043702237,,,,,,,,,,,,,,,,,
2500,0.023276858,0.04856829,,,,,,,,,,,,,,,,,
2600,0.03119045,0.046725567,,,,,,,,,,,,,,,,,
2700,0.018859303,0.04295578,,,,,,,,,,,,,,,,,
2800,0.034548197,0.046517245,,,,,,,,,,,,,,,,,
2900,0.023421595,0.050107688,,,,,,,,,,,,,,,,,
3000,0.026893223,0.046516154,,,,,,,,,,,,,,,,,
3100,0.03377156,0.04734236,,,,,,,,,,,,,,,,,
3200,0.018474681,0.043819595,,,,,,,,,,,,,,,,,
3300,0.02059692,0.0460639,,,,,,,,,,,,,,,,,
3400,0.015984181,0.040539272,,,,,,,,,,,,,,,,,
3432,,,0.987927496433258,0.0428209863603115,0.1697355718339878,0.985166072845459,0.0521524772047996,0.1533605607184892,43793.0,0.9842060208320618,0.0548967756330966,0.1537421958880028,43793.0,731.2589046955109,1166.5668742656708,731.2589046955109,435.16318368911743,0.0550062656402587,0.0
3500,0.019004758,0.048819724,,,,,,,,,,,,,,,,,
3600,0.030019322,0.04628504,,,,,,,,,,,,,,,,,
3700,0.0334384,0.047264755,,,,,,,,,,,,,,,,,
3800,0.023565253,0.046020184,,,,,,,,,,,,,,,,,
3900,0.025573144,0.043301277,,,,,,,,,,,,,,,,,
4000,0.019445898,0.048104744,,,,,,,,,,,,,,,,,
4100,0.013825906,0.04528733,,,,,,,,,,,,,,,,,
4200,0.02019932,0.042396322,,,,,,,,,,,,,,,,,
4300,0.02538361,0.044839896,,,,,,,,,,,,,,,,,
4400,0.013287268,0.04847548,,,,,,,,,,,,,,,,,
4500,0.026197128,0.046010997,,,,,,,,,,,,,,,,,
4565,,,0.9884599447250366,0.0402491316199302,0.2074693941699252,0.9856154322624208,0.0494362115859985,0.1826686409354252,43793.0,0.9846979379653932,0.0521524474024772,0.1819330443809076,43793.0,971.3696434497832,1483.0306069850922,971.3696434497832,511.4644267559052,0.0758907794952392,0.0
4600,0.021469194,0.046473727,,,,,,,,,,,,,,,,,
4700,0.034556307,0.046678152,,,,,,,,,,,,,,,,,
4800,0.015981538,0.044296026,,,,,,,,,,,,,,,,,
4900,0.029596437,0.050900944,,,,,,,,,,,,,,,,,
5000,0.012397217,0.04473884,,,,,,,,,,,,,,,,,
5100,0.018764175,0.043528598,,,,,,,,,,,,,,,,,
5200,0.02002629,0.041310553,,,,,,,,,,,,,,,,,
5300,0.01684335,0.043564077,,,,,,,,,,,,,,,,,
5400,0.021522578,0.048040453,,,,,,,,,,,,,,,,,
5500,0.033882793,0.042540036,,,,,,,,,,,,,,,,,
5600,0.036811467,0.049263876,,,,,,,,,,,,,,,,,
5700,0.024021804,0.04495083,,,,,,,,,,,,,,,,,
5704,,,0.9889758229255676,0.0382139980792999,0.255830060296257,0.9858922958374025,0.0478573888540267,0.1997373510581273,43793.0,0.9850130081176758,0.0503841340541839,0.2028902267215548,43793.0,1211.4673175811768,1800.6749556064606,1211.4673175811768,588.9614708423615,0.0963776111602783,0.0
5800,0.016385183,0.040710855,,,,,,,,,,,,,,,,,
5900,0.01939052,0.04665216,,,,,,,,,,,,,,,,,
6000,0.015267351,0.045518223,,,,,,,,,,,,,,,,,
6100,0.017685527,0.044550594,,,,,,,,,,,,,,,,,
6200,0.021550177,0.043984193,,,,,,,,,,,,,,,,,
6300,0.01890597,0.038122915,,,,,,,,,,,,,,,,,
6400,0.015679648,0.04505253,,,,,,,,,,,,,,,,,
6500,0.015397759,0.04475179,,,,,,,,,,,,,,,,,
6600,0.01400637,0.038800474,,,,,,,,,,,,,,,,,
6700,0.014396961,0.04185596,,,,,,,,,,,,,,,,,
6800,0.015952606,0.043217182,,,,,,,,,,,,,,,,,
6865,,,0.988731324672699,0.0379819050431251,0.2707176195895686,0.985897183418274,0.0478918738663196,0.2209104171947519,43793.0,0.9850416779518129,0.0505909994244575,0.2215243249628657,43793.0,1451.4891369342804,2115.606386899948,1451.4891369342804,663.8225286006927,0.1150593757629394,0.0
6900,0.02324825,0.045693282,,,,,,,,,,,,,,,,,
7000,0.018206913,0.04044792,,,,,,,,,,,,,,,,,
7100,0.016771441,0.0433359,,,,,,,,,,,,,,,,,
7200,0.026557581,0.041105285,,,,,,,,,,,,,,,,,
7300,0.014379242,0.036489528,,,,,,,,,,,,,,,,,
7400,0.014992931,0.04034352,,,,,,,,,,,,,,,,,
7500,0.019304045,0.039558277,,,,,,,,,,,,,,,,,
7600,0.019693457,0.039845124,,,,,,,,,,,,,,,,,
7700,0.01747612,0.039454598,,,,,,,,,,,,,,,,,
7800,0.024520475,0.04285132,,,,,,,,,,,,,,,,,
7900,0.024163058,0.043335516,,,,,,,,,,,,,,,,,
8000,0.02055419,0.038752258,,,,,,,,,,,,,,,,,
8022,,,0.9893003702163696,0.0358433946967124,0.313986765022076,0.9860972762107848,0.0466776229441165,0.2330377733332588,43793.0,0.9852880835533142,0.0494345910847187,0.230809954112076,43793.0,1691.4678633213043,2431.7623097896576,1691.4678633213043,739.9517350196838,0.1339001655578613,0.0
8100,0.01518236,0.040636424,,,,,,,,,,,,,,,,,
8200,0.024393963,0.0457903,,,,,,,,,,,,,,,,,
8300,0.015375282,0.041410156,,,,,,,,,,,,,,,,,
8400,0.018274058,0.0392084,,,,,,,,,,,,,,,,,
8500,0.016068855,0.03845034,,,,,,,,,,,,,,,,,
8600,0.018546859,0.04404028,,,,,,,,,,,,,,,,,
8700,0.030553004,0.037597798,,,,,,,,,,,,,,,,,
8800,0.013573209,0.036887955,,,,,,,,,,,,,,,,,
8900,0.020729123,0.041877355,,,,,,,,,,,,,,,,,
9000,0.017354432,0.039595477,,,,,,,,,,,,,,,,,
9100,0.017482607,0.039349135,,,,,,,,,,,,,,,,,
9190,,,0.9897857904434204,0.0346563085913658,0.3368483868153639,0.9863510131835938,0.0457691699266433,0.2444831890665955,43793.0,0.9854721426963806,0.0485151968896389,0.2383967723639741,43793.0,1931.4174807071688,2747.2317550182343,1931.4174807071688,815.4159688949585,0.1585092544555664,0.0
9200,0.018500086,0.041301653,,,,,,,,,,,,,,,,,
9300,0.019712653,0.042107794,,,,,,,,,,,,,,,,,
9400,0.012560798,0.035809852,,,,,,,,,,,,,,,,,
9500,0.014828278,0.0381015,,,,,,,,,,,,,,,,,
9600,0.01682373,0.038695216,,,,,,,,,,,,,,,,,
9700,0.017253911,0.03649476,,,,,,,,,,,,,,,,,
9800,0.019253438,0.04203854,,,,,,,,,,,,,,,,,
9900,0.015453378,0.039382372,,,,,,,,,,,,,,,,,
10000,0.020819206,0.03659517,,,,,,,,,,,,,,,,,
10100,0.016201802,0.03761849,,,,,,,,,,,,,,,,,
10200,0.023326632,0.040589288,,,,,,,,,,,,,,,,,
10300,0.016770586,0.04132289,,,,,,,,,,,,,,,,,
10354,,,0.990146815776825,0.0328425578773021,0.3750864211115751,0.9864902496337892,0.0454550236463546,0.2446381251014512,43793.0,0.985659122467041,0.0479521043598651,0.2450861195018509,43793.0,2171.470983982086,3062.3003227710724,2171.470983982086,890.38174700737,0.1770155429840088,0.0
10400,0.014528351,0.037445616,,,,,,,,,,,,,,,,,
10500,0.016968528,0.037889216,,,,,,,,,,,,,,,,,
10600,0.01601449,0.039847117,,,,,,,,,,,,,,,,,
10700,0.021683736,0.04268782,,,,,,,,,,,,,,,,,
10800,0.026755795,0.03614387,,,,,,,,,,,,,,,,,
10900,0.01866935,0.038425807,,,,,,,,,,,,,,,,,
11000,0.020825578,0.03945881,,,,,,,,,,,,,,,,,
11100,0.025211021,0.036829714,,,,,,,,,,,,,,,,,
11200,0.01741814,0.037484106,,,,,,,,,,,,,,,,,
11300,0.022967955,0.037328906,,,,,,,,,,,,,,,,,
11400,0.024992628,0.040924232,,,,,,,,,,,,,,,,,
11500,0.01904968,0.037240516,,,,,,,,,,,,,,,,,
11507,,,0.9903236031532288,0.0323903635144233,0.3871162408295008,0.9866433143615724,0.0451776571571826,0.2528416152821702,43793.0,0.9857555627822876,0.0479789450764656,0.2481245184895599,43793.0,2411.435134410858,3378.9535393714905,2411.435134410858,967.0125823020936,0.1971464157104492,0.0
11600,0.017458782,0.03752479,,,,,,,,,,,,,,,,,
11700,0.016275447,0.037298717,,,,,,,,,,,,,,,,,
11800,0.023276238,0.039124727,,,,,,,,,,,,,,,,,
11900,0.027944684,0.03839419,,,,,,,,,,,,,,,,,
12000,0.022178434,0.037513964,,,,,,,,,,,,,,,,,
12100,0.022778722,0.034024082,,,,,,,,,,,,,,,,,
12200,0.02105472,0.03826472,,,,,,,,,,,,,,,,,
12300,0.020360919,0.037257478,,,,,,,,,,,,,,,,,
12400,0.017058162,0.04082255,,,,,,,,,,,,,,,,,
12500,0.026955381,0.036306,,,,,,,,,,,,,,,,,
12600,0.03330878,0.041328296,,,,,,,,,,,,,,,,,
12678,,,0.9907436966896056,0.030696703121066,0.4229015274387266,0.9866238236427308,0.0452947504818439,0.2541998819823162,43793.0,0.985772430896759,0.048084307461977,0.2524693550631113,43793.0,2651.4471337795258,3693.828275680542,2651.4471337795258,1041.8242259025574,0.2168512344360351,0.0
12700,0.024980905,0.03916171,,,,,,,,,,,,,,,,,
12800,0.01806516,0.038587734,,,,,,,,,,,,,,,,,
12900,0.01706637,0.033636797,,,,,,,,,,,,,,,,,
13000,0.02277587,0.037709236,,,,,,,,,,,,,,,,,
13100,0.026230035,0.035333913,,,,,,,,,,,,,,,,,
13200,0.017574953,0.03663003,,,,,,,,,,,,,,,,,
13300,0.025666831,0.039329953,,,,,,,,,,,,,,,,,
13400,0.02009902,0.03855529,,,,,,,,,,,,,,,,,
13500,0.029103057,0.03733673,,,,,,,,,,,,,,,,,
13600,0.017497536,0.037520237,,,,,,,,,,,,,,,,,
13700,0.017805882,0.036827806,,,,,,,,,,,,,,,,,
13800,0.020477153,0.036202993,,,,,,,,,,,,,,,,,
13841,,,0.99073725938797,0.0311547275632619,0.4189870523307328,0.9866591095924376,0.0451975688338279,0.258404776331421,43793.0,0.9856797456741332,0.0482982955873012,0.2470126916673839,43793.0,2891.5813200473785,4007.7341310977936,2891.5813200473785,1115.5470321178436,0.2369892597198486,0.0
13900,0.023569504,0.036793806,,,,,,,,,,,,,,,,,
14000,0.022154165,0.03643547,,,,,,,,,,,,,,,,,
14100,0.017711207,0.033957824,,,,,,,,,,,,,,,,,
14200,0.02779795,0.038281564,,,,,,,,,,,,,,,,,
14300,0.023065101,0.035801332,,,,,,,,,,,,,,,,,
14400,0.024144595,0.03562291,,,,,,,,,,,,,,,,,
14500,0.018622171,0.034519937,,,,,,,,,,,,,,,,,
14600,0.019946758,0.03692519,,,,,,,,,,,,,,,,,
14700,0.018717263,0.036315084,,,,,,,,,,,,,,,,,
14800,0.024394218,0.039092414,,,,,,,,,,,,,,,,,
14900,0.024028765,0.037690833,,,,,,,,,,,,,,,,,
15000,0.019351372,0.037031464,,,,,,,,,,,,,,,,,
15008,,,0.9914278984069824,0.0284762866795063,0.4560264047999383,0.9866920113563538,0.0452412702143192,0.2572500774394191,43793.0,0.985859215259552,0.0481701306998729,0.2510901812764047,43793.0,3131.730295419693,4323.885477781296,3131.730295419693,1191.499303340912,0.2574193477630615,0.0
15100,0.019448275,0.035795733,,,,,,,,,,,,,,,,,
15200,0.028482098,0.035449903,,,,,,,,,,,,,,,,,
15300,0.024667077,0.0361755,,,,,,,,,,,,,,,,,
15400,0.021609373,0.037201848,,,,,,,,,,,,,,,,,
15500,0.024626866,0.034035757,,,,,,,,,,,,,,,,,
15600,0.021869728,0.035429176,,,,,,,,,,,,,,,,,
15700,0.022180092,0.03526829,,,,,,,,,,,,,,,,,
15800,0.022977814,0.036179796,,,,,,,,,,,,,,,,,
15900,0.025731687,0.037322342,,,,,,,,,,,,,,,,,
16000,0.023123525,0.035035074,,,,,,,,,,,,,,,,,
16100,0.025367275,0.03820896,,,,,,,,,,,,,,,,,
16167,,,0.9910731315612792,0.0293934233486652,0.4634485163445269,0.9866956472396852,0.0454579107463359,0.2557284046259325,43793.0,0.98575097322464,0.0486478134989738,0.2516914205390488,43793.0,3371.685544967652,4639.17437338829,3371.685544967652,1266.7827770709991,0.2763464450836181,0.0
16200,0.024213742,0.03267455,,,,,,,,,,,,,,,,,
16300,0.030478023,0.033579037,,,,,,,,,,,,,,,,,
16400,0.026659992,0.035422597,,,,,,,,,,,,,,,,,
16500,0.020268328,0.034433536,,,,,,,,,,,,,,,,,
16600,0.022913363,0.033856753,,,,,,,,,,,,,,,,,
16700,0.031587046,0.035803504,,,,,,,,,,,,,,,,,
16800,0.030277124,0.036692604,,,,,,,,,,,,,,,,,
16900,0.025091367,0.03396551,,,,,,,,,,,,,,,,,
17000,0.023977842,0.031723447,,,,,,,,,,,,,,,,,
17100,0.02714649,0.036817096,,,,,,,,,,,,,,,,,
17200,0.027464634,0.032716826,,,,,,,,,,,,,,,,,
17300,0.02687803,0.036636576,,,,,,,,,,,,,,,,,
17327,,,0.9917005300521852,0.02687568962574,0.5139073470529663,0.986731767654419,0.0456955917179584,0.2583347806244402,43793.0,0.985765278339386,0.0488952510058879,0.2535455374173522,43793.0,3611.642764568329,4952.445822954178,3611.642764568329,1340.0468039512634,0.296067476272583,0.0
17400,0.025124764,0.03731701,,,,,,,,,,,,,,,,,
17500,0.025812842,0.03398068,,,,,,,,,,,,,,,,,
17600,0.032730553,0.03632436,,,,,,,,,,,,,,,,,
17700,0.019892292,0.032103162,,,,,,,,,,,,,,,,,
17800,0.026082203,0.03651367,,,,,,,,,,,,,,,,,
