global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.497298,11.106262,,,,,,,,,,,,,,,,,
1,,,0.0006014798418618,11.10569190979004,0.0,0.0004820408939849,11.148694038391112,0.0,3000.0,0.0007183408597484,11.146646499633787,0.0,3003.0,26.70587730407715,941.7918515205384,26.70587730407715,915.0858404636384,0.0,0.0
100,0.2500333,9.006104,,,,,,,,,,,,,,,,,
200,0.23367947,8.663529,,,,,,,,,,,,,,,,,
300,0.6855264,8.276155,,,,,,,,,,,,,,,,,
400,0.7233957,7.9867935,,,,,,,,,,,,,,,,,
500,0.4465822,7.72077,,,,,,,,,,,,,,,,,
600,0.8014897,7.6094403,,,,,,,,,,,,,,,,,
700,0.91601634,7.4324217,,,,,,,,,,,,,,,,,
800,0.6407468,7.153823,,,,,,,,,,,,,,,,,
900,0.6057806,7.0236025,,,,,,,,,,,,,,,,,
1000,0.5569967,6.9132905,,,,,,,,,,,,,,,,,
1100,0.6520049,6.779195,,,,,,,,,,,,,,,,,
1200,0.84496063,6.643844,,,,,,,,,,,,,,,,,
1300,0.5427057,6.4918427,,,,,,,,,,,,,,,,,
1400,0.5153172,6.4293313,,,,,,,,,,,,,,,,,
1500,0.61193925,6.3082523,,,,,,,,,,,,,,,,,
1600,0.7688026,6.238975,,,,,,,,,,,,,,,,,
1700,0.5966527,6.139711,,,,,,,,,,,,,,,,,
1800,0.6805283,6.0709796,,,,,,,,,,,,,,,,,
1900,0.5801745,6.0008,,,,,,,,,,,,,,,,,
2000,0.64395726,5.852224,,,,,,,,,,,,,,,,,
2100,0.62592304,5.7892075,,,,,,,,,,,,,,,,,
2200,0.69230044,5.683304,,,,,,,,,,,,,,,,,
2300,0.7937276,5.6341195,,,,,,,,,,,,,,,,,
2400,0.569701,5.509006,,,,,,,,,,,,,,,,,
