submission,workload,workload_variant,study,trial,metric_name,target_value,higher_is_better,global_step,accumulated_submission_time,metric_value
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,2031,2138.753703594208,0.16258
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,4880,4134.861149311066,0.38656
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,8187,6127.954258918762,0.45316
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,11133,8121.62354516983,0.42718
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,14368,10118.02747440338,0.49112
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,17297,12111.831194400787,0.49404
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,20477,14104.882640361786,0.47782
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,23489,16098.84599351883,0.52654
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,26629,18091.85059404373,0.51638
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,29670,20084.788528203964,0.50866
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,32663,22077.92294931412,0.52876
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,35748,24072.385840415955,0.49398
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,38657,26067.747885465626,0.5264
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,41863,28066.94665813446,0.5638
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,44810,30061.69635105133,0.5196
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,47978,32057.29818224907,0.54588
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,50985,34054.693652391434,0.55094
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,54038,36047.62161326408,0.56536
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,57078,38044.49693489075,0.5347
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,59970,40037.88383817673,0.52468
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,63152,42030.55837059021,0.56968
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,66092,44034.404895067215,0.56862
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,69247,46027.2544567585,0.56394
ademamix,imagenet_resnet,imagenet_resnet_pytorch,0,1,accuracy,0.77431,True,72247,48020.99713611603,0.56332
