submission,score
AdEMAMix,0.5190796857463527
Cautious NAdamW,0.31425364758698043
Lion,0.27833894500561146
Muon (JAX),0.2845117845117842
Muon (PyTorch),0.4231200897867556
NAdamW,0.384399551066217
NAdamW (Baseline v0.5),0.4506172839506181
NAdamW (ResNet),0.18574635241301896
Schedule-Free AdamW,0.466891133557801
Schedule-Free AdamW (JAX),0.4107744107744111
Schedule-Free AdamW (JAX v2),0.4405162738496074
Schedule-Free AdamW v2,0.5679012345679016
DiLoCo (Single Worker),0.1369248035914701
DiLoCo v2 (Single Worker),0.1301907968574634
