submission,score
AdEMAMix,0.5258136924803595
Cautious NAdamW,0.31986531986531946
Lion,0.2732884399551064
Muon (JAX),0.31986531986531946
Muon (PyTorch),0.4326599326599318
NAdamW,0.40404040404040326
NAdamW (Baseline v0.5),0.45454545454545503
NAdamW (ResNet),0.19528619528619492
Schedule-Free AdamW,0.4461279461279469
Schedule-Free AdamW (JAX),0.4090909090909087
Schedule-Free AdamW (JAX v2),0.41245791245791213
Schedule-Free AdamW v2,0.5252525252525259
DiLoCo (Single Worker),0.18630751964085265
DiLoCo v2 (Single Worker),0.1829405162738493
