submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
ademamix,8371.0,10206.0,44503.0,inf,inf,67706.0,inf,27247.0,112742.0
cautious_nadamw,inf,7518.0,58199.0,inf,inf,inf,inf,24948.0,112372.0
lion,inf,10645.0,59524.0,inf,inf,inf,inf,33386.0,109080.0
muon,inf,8801.0,40724.0,inf,151926.0,inf,inf,inf,inf
muon_torch,7716.0,inf,39220.0,inf,inf,inf,inf,7711.0,97224.0
muon_torch_jax_hps,inf,inf,inf,inf,inf,,inf,inf,inf
muon_torch_jax_hps_achandr,inf,5530.0,50538.0,inf,inf,,inf,inf,inf
muon_torch_jax_hps_lr_fix,inf,3913.0,39574.0,inf,inf,inf,inf,7847.0,inf
nadamw,8286.0,9924.0,58784.0,inf,152461.0,inf,inf,inf,inf
nadamw_baselinev05,9145.0,6648.0,47039.0,inf,inf,inf,inf,20879.0,118600.0
nadamw_resnet,inf,9220.0,53029.0,inf,inf,inf,inf,32738.0,inf
schedule_free_adamw,10346.0,10599.0,inf,inf,inf,inf,90588.0,15853.0,133517.0
schedule_free_adamw_jax,inf,7160.0,57242.0,inf,175889.0,inf,inf,27341.0,122198.0
schedule_free_adamw_jax_v2,9005.0,8750.0,68640.0,inf,164206.0,inf,inf,27457.0,inf
schedule_free_adamw_v2,7951.0,12431.0,inf,inf,inf,83184.0,78669.0,28449.0,73222.0
single_worker_diloco,inf,9342.0,61209.0,inf,inf,inf,inf,inf,inf
