submission,workload,study,trial,experiment_dir,eval_idx,accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/bleu,test/loss,test/num_examples,total_duration,train/accuracy,train/bleu,train/loss,validation/accuracy,validation/bleu,validation/loss,validation/num_examples,test/ssim,train/ssim,validation/ssim,test/ctc_loss,test/wer,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,test/mean_average_precision,train/mean_average_precision,validation/mean_average_precision,test/ppl,train/ppl,validation/ppl
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,0,439.05135011672974,0.0,60.56462502479553,1,0,60.56462502479553,0.0007088489919237,0.0,11.555981639649062,3003,500.3082737922669,0.0005960705197276,0.0,11.561661775831633,0.0004835649898947,0.0,11.567869586241956,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,1,644.2240459918976,0.0475642681121826,702.6060817241669,4157,0,702.6060817241669,0.5858927430131893,21.63589020280488,2.1705531709371915,3003,1350.0926342010498,0.5713844252163165,26.611518146345656,2.301540217403745,0.583861328439821,23.275810259866887,2.186774652515158,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,2,874.0244402885437,0.1040198802947998,1344.7416751384735,8331,0,1344.7416751384735,0.6286444715588868,24.54120106999433,1.814761271861019,3003,2224.478176832199,0.6092489775401558,28.97831885360621,1.9680095734228984,0.6219265725161498,25.48070247168356,1.8588077410695465,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,3,1069.255356311798,0.1558728218078613,1986.9908213615413,12505,0,1986.9908213615413,0.6430771018534658,25.342080163937485,1.7034866872930103,3003,3064.3881447315216,0.6164715012896893,29.233477784617325,1.911589763233582,0.637698230648101,26.57209080859196,1.7549247684467644,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,4,1271.7172877788544,0.2097036838531494,2629.1733162403107,16682,0,2629.1733162403107,0.65226889779792,25.90818177305538,1.6432114635988613,3003,3911.4720780849457,0.6221603973144486,29.96585825249592,1.8624930303274163,0.6442821539720525,26.952934293498085,1.7100163823139205,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,5,1470.7859597206116,0.2639539241790771,3271.3456637859344,20857,0,3271.3456637859344,0.657010051711115,26.39772026995933,1.612722967869386,3003,4755.157427549362,0.6286377656123738,30.404473989212303,1.8044750776777485,0.6478778936405004,27.032117732469423,1.6748356731472642,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,6,1663.5734691619873,0.3227708339691162,3913.587485551834,25034,0,3913.587485551834,0.6614955551682064,26.808686504638523,1.5857787170995294,3003,5592.642633914948,0.6866806889886874,34.56034912839901,1.447234114746177,0.6513000458766786,27.59237502696377,1.6513676597314355,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,7,1863.749895334244,0.3764441013336181,4555.858659982681,29211,0,4555.858659982681,0.6625065365173436,26.996678864668628,1.5705014235082215,3003,6437.527733325958,0.6371330729673703,30.432986053157432,1.758224720259297,0.6538294627468971,27.630364483019388,1.6363496345364597,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,8,2090.6698782444,0.4325993061065674,5198.09246468544,33388,0,5198.09246468544,0.6657835105455813,26.75398398188,1.546386395328569,3003,7309.124248743057,0.6381146042770974,30.78376593708504,1.7424846991523488,0.6555157406603762,27.533961505111307,1.6177715170921625,3000,,,,,,,,,,,,,,,
ademamix,wmt_pytorch,study_2,trial_1,/home/aliu/oss/submissions_algorithms/logs/self_tuning/ademamix,9,2319.2858295440674,0.4890375137329101,5840.327011346817,37565,0,5840.327011346817,0.6664458776363953,27.371322682150875,1.5364944657486492,3003,8182.413994550705,0.683313158075052,34.05349969763738,1.4486851346412992,0.6569664356300604,27.822569917264207,1.6062942105491562,3000,,,,,,,,,,,,,,,
