workload,label,model_family,submission,median_seconds,self_tuning_budget_seconds,budget_fraction,target_reached,best_non_muon_submission,best_non_muon_seconds,speedup_vs_best_non_muon
ogbg,OGBG,Graph neural network,NAdamW (Baseline AlgoPerf v0.5) (JAX),4089.775626659393,16954.5,0.2412206568556662,True,Schedule-Free AdamW (PyTorch),3640.148542404175,0.8900606964048827
ogbg,OGBG,Graph neural network,NAdamW (Tuned for ResNet) (JAX),6349.506216049194,16954.5,0.3745027111415373,True,Schedule-Free AdamW (PyTorch),3640.148542404175,0.5732963192008901
ogbg,OGBG,Graph neural network,Schedule-Free AdamW (PyTorch),3640.148542404175,16954.5,0.21470102582819753,True,Schedule-Free AdamW (PyTorch),3640.148542404175,1.0
ogbg,OGBG,Graph neural network,Schedule-Free AdamW (JAX),5446.973826885223,16954.5,0.3212700950712332,True,Schedule-Free AdamW (PyTorch),3640.148542404175,0.668288238220844
ogbg,OGBG,Graph neural network,Schedule-Free AdamW v2 (JAX),5444.019295454025,16954.5,0.3210958326965717,True,Schedule-Free AdamW (PyTorch),3640.148542404175,0.6686509258782101
ogbg,OGBG,Graph neural network,Schedule-Free AdamW v2 (PyTorch),6325.430662155151,16954.5,0.37308270147483863,True,Schedule-Free AdamW (PyTorch),3640.148542404175,0.5754783724344757
ogbg,OGBG,Graph neural network,Single Worker DiLoCo (JAX),inf,16954.5,inf,False,Schedule-Free AdamW (PyTorch),3640.148542404175,
ogbg,OGBG,Graph neural network,Single Worker DiLoCo v2 (JAX),inf,16954.5,inf,False,Schedule-Free AdamW (PyTorch),3640.148542404175,
finewebedu_lm,FineWebEdu,Decoder Transformer,AdEMAMix (PyTorch),18025.89689064026,47950.5,0.3759271934732747,True,Schedule-Free AdamW (JAX),12875.283079862596,0.7142658785842684
finewebedu_lm,FineWebEdu,Decoder Transformer,Cautious NAdamW (JAX),25738.981688261032,47950.5,0.5367823419622534,True,Schedule-Free AdamW (JAX),12875.283079862596,0.5002250374860293
finewebedu_lm,FineWebEdu,Decoder Transformer,Lion (PyTorch),23172.039316177368,47950.5,0.4832491697933779,True,Schedule-Free AdamW (JAX),12875.283079862596,0.5556387551471926
finewebedu_lm,FineWebEdu,Decoder Transformer,Muon (JAX),20594.037749767303,47950.5,0.4294853598975465,True,Schedule-Free AdamW (JAX),12875.283079862596,0.625194691604762
finewebedu_lm,FineWebEdu,Decoder Transformer,Muon (PyTorch),15471.922557115557,47950.5,0.32266446767219437,True,Schedule-Free AdamW (JAX),12875.283079862596,0.832170858684995
finewebedu_lm,FineWebEdu,Decoder Transformer,NAdamW (JAX),25733.847669363025,47950.5,0.5366752728201588,True,Schedule-Free AdamW (JAX),12875.283079862596,0.5003248346414608
finewebedu_lm,FineWebEdu,Decoder Transformer,NAdamW (Baseline AlgoPerf v0.5) (JAX),20589.912857055664,47950.5,0.42939933592049434,True,Schedule-Free AdamW (JAX),12875.283079862596,0.625319940363446
finewebedu_lm,FineWebEdu,Decoder Transformer,NAdamW (Tuned for ResNet) (JAX),23163.02198767662,47950.5,0.48306111485128667,True,Schedule-Free AdamW (JAX),12875.283079862596,0.5558550644519791
finewebedu_lm,FineWebEdu,Decoder Transformer,Schedule-Free AdamW (PyTorch),inf,47950.5,inf,False,Schedule-Free AdamW (JAX),12875.283079862596,
