,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
7,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1238506327051705,13201.688807487488,inf,1.6805711619134176,10666
16,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1238473428037413,12843.221409320831,inf,1.6805711619134176,10666
24,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1237763680963989,11778.461151599884,inf,1.6805711619134176,10666
1,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7244977462674099,765.8854074478149,765.8854074478149,1.5654985274587359,18094
10,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7241025462067389,1817.1823732852936,1817.1823732852936,1.5654985274587359,18094
19,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.723855657797552,1830.8125085830688,1830.8125085830688,1.5654985274587359,18094
8,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.932905238908088,12886.524369478226,12886.524369478226,0.4191518713537717,72000
17,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.03087085832684,12887.495035886765,12887.495035886765,0.4191518713537717,72000
25,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.85756224687316,12888.320937633514,12888.320937633514,0.4191518713537717,72000
0,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.61956,71939.20494151115,inf,0.690336458641757,195999
9,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.61568,65940.45378279686,inf,0.690336458641757,195999
18,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.61914,36030.59577226639,inf,0.690336458641757,195999
2,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.66012,84911.81944584846,inf,0.8015227433375549,167999
11,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.66552,92539.17739653587,inf,0.8015227433375549,167999
3,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0877999324095978,61113.596465587616,inf,0.7315586172590507,76000
12,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0882344421377878,54135.1698012352,inf,0.7315586172590507,76000
20,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,True,0.0853183990730459,52393.79511928558,52393.79511928558,0.7315586172590507,76000
5,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1243277168927726,33305.35944676399,inf,0.7687421804536599,38400
14,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1242987495775599,31872.2521109581,inf,0.7687421804536599,38400
22,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1218365277844831,33295.38259077072,inf,0.7687421804536599,38400
4,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2818350526973057,9062.13857460022,9062.13857460022,0.22792989789626422,52000
13,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.281393744241427,4994.298848628998,4994.298848628998,0.22792989789626422,52000
21,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2820029958838089,4522.396051645279,4522.396051645279,0.22792989789626422,52000
6,wmt_pytorch,trial_1,validation/bleu,30.8491,False,30.68669867883425,21263.457713603973,inf,0.15384744672496523,120000
15,wmt_pytorch,trial_1,validation/bleu,30.8491,False,30.8441882006884,21240.45601129532,inf,0.15384744672496523,120000
23,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.88069670961225,20626.889546871185,20626.889546871185,0.15384744672496523,120000
