accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
189.40433645248413,0.0,120.12487483024596,1,0,120.12487483024596,0.0011,6.9120390625,10000.0,310.2023446559906,0.0009765625,6.912506103515625,0.00086,6.91102,50000.0
314.1819438934326,0.531510591506958,2113.546407222748,3404,0,2113.546407222748,0.334,3.31869453125,10000.0,2434.4062237739563,0.4516900510204081,3.0458258804009883,0.40134,3.4258378125,50000.0
453.7714109420776,2.59226131439209,4114.095727682114,6145,0,4114.095727682114,0.3954,3.144853125,10000.0,4580.066311120987,0.494140625,3.170180963010204,0.4676,3.164164375,50000.0
570.7797772884369,5.885913133621216,6105.573482275009,8837,0,6105.573482275009,0.2438,4.361330859375,10000.0,6695.075797796249,0.2914740114795918,4.33967247787787,0.26024,4.4780803125,50000.0
689.2486135959625,10.087974309921265,8095.110541820526,11510,0,8095.110541820526,0.0287,6.6772484375,10000.0,8811.014426469803,0.0324657206632653,6.584856305803571,0.02722,6.69348,50000.0
812.274516582489,13.559653759002686,10085.4649040699,14167,0,10085.4649040699,0.0041,7.4399171875,10000.0,10932.179466962814,0.0044044961734693,7.279268225845025,0.00384,7.310884375,50000.0
938.8958313465118,17.671525239944458,12075.36439704895,16838,0,12075.36439704895,0.0006,19.3424578125,10000.0,13056.105801343918,0.0004783163265306,17.910700583944514,0.00124,17.79934,50000.0
1071.4653537273407,21.862664937973022,14067.873906373978,19507,0,14067.873906373978,0.0011,8.73087109375,10000.0,15189.785513401031,0.0008968431122448,8.583537199059311,0.00318,8.548915625,50000.0
1205.3799409866333,25.630727767944336,16065.026736736298,22188,0,16065.026736736298,0.1994,4.231034765625,10000.0,17329.910717487335,0.2729193239795918,4.230171670719069,0.251,4.247315,50000.0
1341.3259689807892,29.987637519836422,18055.035547733307,24829,0,18055.035547733307,0.3481,3.239581640625,10000.0,19463.768147468567,0.4337133290816326,3.4055798588966835,0.41474,3.3328840625,50000.0
