accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ppl,total_duration,train/loss,train/ppl,validation/loss,validation/num_examples,validation/ppl
331.7922477722168,0.0,24.786927700042725,1,0,24.786927700042725,0.0,0.0,1.0,356.5792586803436,11.028724670410156,61618.94619976116,11.029095649719238,100000.0,61641.80979454679
662.2826445102692,0.362922191619873,2595.75295329094,5841,0,2595.75295329094,0.0,0.0,1.0,3258.4534645080566,4.623279571533203,101.82743547934614,4.62824010848999,100000.0,102.33380914052852
992.7878675460817,0.4159901142120361,5166.669857263565,11719,0,5166.669857263565,0.0,0.0,1.0,6159.984931945801,3.698899984359741,40.402836155009545,3.7017085552215576,100000.0,40.51646988286184
1323.1020185947418,0.4742820262908935,7737.885014295578,17599,0,7737.885014295578,0.0,0.0,1.0,9061.62401342392,3.567490100860596,35.4275618615602,3.569732427597046,100000.0,35.50709116274584
1653.5170917510986,0.5216341018676758,10309.225841522217,23484,0,10309.225841522217,0.0,0.0,1.0,11963.477123498917,3.4528775215148926,31.5911659041961,3.4544146060943604,100000.0,31.63976153638549
1984.1778485775,0.5705411434173584,12880.208475589752,29368,0,12880.208475589752,0.0,0.0,1.0,14865.218567609789,3.372722625732422,29.157804876768704,3.373838186264038,100000.0,29.190350322910227
2314.610613822937,0.6191105842590332,15451.293469190598,35250,0,15451.293469190598,0.0,0.0,1.0,17766.834408044815,6.962215423583984,1055.970389454725,6.964371204376221,100000.0,1058.2492856552335
2644.9582998752594,0.6768534183502197,18022.28494668007,41133,0,18022.28494668007,0.0,0.0,1.0,20668.28125143051,3.2911317348480225,26.873259857094386,3.291433334350586,100000.0,26.88136604124865
2975.331800222397,0.7211105823516846,20593.26862835884,47015,0,20593.26862835884,0.0,0.0,1.0,23569.730482816696,3.212669849395752,24.84533104546925,3.2122206687927246,100000.0,24.83417351074952
3305.9892003536224,0.7663860321044922,23164.42234921456,52900,0,23164.42234921456,0.0,0.0,1.0,26471.63585758209,3.1423728466033936,23.15875388421617,3.140616178512573,100000.0,23.11810735193028
3636.6883203983302,0.8152062892913818,25735.729759454727,58784,0,25735.729759454727,0.0,0.0,1.0,29373.7405898571,3.077850818634033,21.71168985805259,3.074632167816162,100000.0,21.64191985260924
,,,58784,0,25735.729759454727,,,,,,,,,
